uuid,slot,type_id,pokemon_id
ae129ab4-a5c7-406b-aa7f-1af6412c97b3,1,12,1
dfdfec2d-2298-4e04-bad9-6999b70c0501,2,4,1
eb4177a9-109f-48fb-83d9-96330dbd7e53,1,12,2
01b7eeb6-572d-480f-be01-7ee9a0fca55d,2,4,2
b2e0ad07-7bc1-4943-a32b-347381cb50db,1,12,3
84e91848-6cf2-4d70-bc20-5a0bebb689d5,2,4,3
6915e129-f74f-430f-b8e8-c62db26530ad,1,10,4
057ef338-fbd2-4331-887d-346068727b02,1,10,5
19b0678f-efbb-4190-a139-e276ed63d7ef,1,10,6
30c3979c-07d9-4e96-b632-7d28c50bd977,2,3,6
9affe3c1-ef71-42a8-8ed6-c3d764d9c376,1,11,7
69774036-349a-4861-98bf-9d676f01eb7e,1,11,8
10111067-a278-44e4-b4d6-0d22ecfdd60f,1,11,9
e5d31074-ab2e-473f-ba72-23196f7a060d,1,7,10
405b32dc-44ff-4a33-b54a-f1adcfcbf390,1,7,11
ad8fdad1-474a-4549-bf6f-2643c12975aa,1,7,12
764dee85-a2ba-45b5-9ad1-230dfb1b6f1f,2,3,12
831c9d74-2919-4e4c-8aae-e1707516c8e7,1,7,13
cf41f8e1-4a8b-43db-b1eb-f9851eb21ebf,2,4,13
e597f0dc-152d-4fe8-b1c7-0b79c8762914,1,7,14
f2439d7b-2f5f-454b-a9d7-06c4bdca870d,2,4,14
f672dc3f-89a9-4055-867c-5f913232ddd2,1,7,15
56795817-71b3-4a6d-aaf6-c0351c230a4b,2,4,15
cfc4ce4c-2de2-4968-95d3-6ae6b3bbef7d,1,1,16
cf231aec-269b-42c0-9b4e-83d139ccb53c,2,3,16
ed1a1209-35e4-4af4-b7d3-ff04b19a0f10,1,1,17
c5239680-15f1-4cc6-bfdf-9bc0c53bf05a,2,3,17
0e1dde3c-5edf-4d37-804e-936b0499c7a6,1,1,18
d631eb49-e4a3-4ce4-baaf-11c18114685d,2,3,18
edd3d36a-d886-4f4b-b990-db1b5bf0edf1,1,1,19
d1806983-6632-4461-9996-839d3670e2e8,1,1,20
7c91a3c8-9f5e-48f2-8597-1751019ad63b,1,1,21
be3d9e69-d989-4e7f-9ef5-884b1062ce3e,2,3,21
6c9aaab2-c1c9-4a57-9ed0-6dc84f516fda,1,1,22
9ffabbf8-6c10-441a-b0a9-f33133540653,2,3,22
db665a25-042b-4de5-b167-5da8659cbdd8,1,4,23
72c1cd17-f43c-42ba-926b-0f135e46968a,1,4,24
fb6f3031-a7bc-4f8e-8160-2dd8f2e521f7,1,13,25
bda54200-d23c-43a1-b6bd-edb53d400042,1,13,26
8a67d231-7a29-4160-93f7-768349092553,1,5,27
5a6f9951-954d-4da0-8317-066560c94b51,1,5,28
80b01f3d-9095-4c9f-953e-9d41a4ca4c0e,1,4,29
f65c9035-ce42-46a5-8840-6f50cfb4d864,1,4,30
9fb96cd8-453a-4f08-908f-350fa780b8f7,1,4,31
615f83c9-8b4f-411f-b347-5bfd0fed8cd3,2,5,31
8a9745e9-5c0e-4b2e-b00e-781c9d245384,1,4,32
43e405d8-eb3b-4ef2-99c7-e80ff082b46a,1,4,33
4f6a80c2-fcce-4c4e-93e2-43029fb59a9f,1,4,34
66576340-bc70-4977-991c-f286e0d2ca7d,2,5,34
d4cf42c8-e836-40b7-9687-df5f8d90f8c3,1,1,35
910d8fd1-29b4-425e-9221-3a61252cd8fd,1,1,36
e688dfaf-d509-48da-ae40-2a72e5a029dc,1,10,37
